year,locationcode,subbrandcode,country,storename,abm,user_country,user_channel,openingdate,store_opg_year,storetype,customer,docdate,ulp,mobileno,nps,hni,gep,indian,nr,tourist,forbill,invoice_type,usd_conv,aed_conv,inr_conv,totalbill,studbill,gender,maritalstatus,nationality,community,enroll_loccode,kpitypea,rcluster,product_group,user_region,tep,active_repeat,catchment,ltltype,target_field,walkins,conversions,qty,salesvalue,actwt,discount,tax,nsv,makingcharge,goldprice,stonevalue,usd_salesvalue,usd_discount,usd_tax,usd_nsv,usd_makingcharge,usd_goldprice,usd_stonevalue,aed_salesvalue,aed_discount,aed_tax,aed_nsv,aed_makingcharge,aed_goldprice,aed_stonevalue,inr_salesvalue,inr_discount,inr_tax,inr_nsv,inr_makingcharge,inr_goldprice,inr_stonevalue,studdedsales,plainsales,gep_salesvalue,studded_qty,studgep_salesvalue,totalbuyers,studdedbuyers,plainbuyers,btq
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],12/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,GEP_CNAMT,GEP_CNAMT,GEP_CNAMT,EOA,N,N,ABU DHABI,LTL,0,0,0,0,3371,6,1,7,6,1,7,7,908.9988,5,8,6,9,8,8,3372,4,4,4,9,5,2,77330,1,1,2,9,8,1,3,0,0,0,0,0,0,0,[NULL]
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600000394715,02/12/2025,600000394715,f1acd50660ff876dae0ba67a0ea2dc36,PROMOTERS,N,Y,N,REPEAT,N,2025XAH3721,STORE,0.2674,1,23,1,1,FEMALE,MARRIED,NOTMAPPED,TAMIL,XAH,ACTUALS,STUDDED,STUDDED,EOA,Y,Y,ABU DHABI,LTL,0,0,0,1,82670.48,48.292,40333.62,2020.23,40327.63,15065.81,15490.44,50117,22110.75,10791.8,547.139902,10787.81,4027.73,4147.27,13403.61,82675.48,40325.62,2017.23,40329.63,15064.81,15489.44,50110,"19,01,311.04","9,27,472.26",46374.29,"9,27,476.49","3,46,354.63","3,56,129.12","11,52,471",22111.75,0,82665.48,1,82665.48,1,1,0,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600000360559,12/12/2025,600000360559,dd3d2dc3a1cc735f02aa7b13c5af315e,NA,N,Y,Y,REPEAT,N,2025XAH57,STORE,0.2674,1,23,1,0,MALE,MARRIED,NOTMAPPED,MALAYALAM,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,2,3361.37,7.342,64.68,161.75,3144.94,636.78,2576.84,10,903.958538,23.760632,43.91495,841.282956,169.600972,697.442616,9,3355.37,66.68,162.75,3138.94,633.78,2571.84,7,77155.51,1449.64,3611.25,72109.62,14417.94,59134.32,4,2,896.958538,3354.37,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001653556,14/12/2025,600001653556,674891802169e5d42d32c571452652af,NA,N,N,Y,NEW,N,2025XAH82,STORE,0.2674,1,23,1,0,FEMALE,MARRIED,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,2,16096.55,29.379,172.58,761.95,15162.02,1722.78,13616.82,10,4304.08,52.880492,212.67583,4057.52,465.799572,3642.6,4,16092.55,173.58,761.95,15161.02,1718.78,13621.82,3,"3,70,044.65",3955.34,17440.85,"3,48,664.46",39469.94,"3,13,144.86",8,4,4302.08,0,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001654828,14/12/2025,600001654828,93c3279adfeceda577dbc7d83c3404b5,NA,N,N,Y,NEW,N,2025XAH94,STORE,0.2674,1,23,1,0,FEMALE,MARRIED,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,1,1492.74,5.418,29.52,71.49,1399.73,256.21,1164.04,4,403.019476,10.824048,28.581626,379.613802,73.243154,318.194696,3,1494.74,30.52,76.49,1390.73,263.21,1162.04,5,34156.02,592.96,1599.27,31968.79,5878.83,26690.92,6,6,397.019476,0,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600000404902,14/12/2025,600000404902,517e177cce737d3b4e6c535219da25f2,NA,N,Y,N,NEW,N,2025XAH98,STORE,0.2674,1,23,1,1,MALE,MARRIED,NOTMAPPED,HINDI,NOTMAPPED,ACTUALS,STUDDED,STUDDED,EOA,N,N,ABU DHABI,LTL,0,0,0,1,4861.83,6.044,601.65,206.68,4147.5,918.11,1186.81,2568.23,1302.91,162.81161,58.196632,1115.63,247.096014,318.213794,690.407702,4857.83,607.65,207.68,4146.5,916.11,1180.81,2569.23,"1,11,641.09",13752.95,4668.64,95191.5,20913.53,27121.63,58961.29,1299.91,0,4853.83,1,4853.83,1,1,0,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600000277514,27/12/2025,600000277514,2aeb558225eb87940ce6ac73e051de8a,NA,N,N,N,REPEAT,N,2025XAH184,STORE,0.2674,1,23,1,0,MALE,MARRIED,NOTMAPPED,TAMIL,XDM,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,2,4131.28,13.427,70.26,201.24,3869.78,683.59,3254.45,10,1108.37,23.252724,54.672376,1043.44,187.524566,871.17033,10,4129.28,71.26,196.24,3871.78,687.59,3260.45,1,94912.44,1575.98,4451.52,88893.94,15702.57,74767.35,6,8,1103.37,0,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001633111,01/12/2025,600001633111,3493b7e34c670713bac73b6228c3da58,NA,N,N,Y,NEW,N,2025XAH3713,STORE,0.2674,1,23,1,0,FEMALE,MARRIED,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,2,3158.61,10.123,1,157.08,3007.53,626.63,2387.9,8,846.740514,4,48.131392,810.609122,169.886862,647.72226,2,3159.61,8,153.08,3002.53,625.63,2389.9,1,72493.03,5,3460.84,69042.19,14190.49,54862.7,3,8,842.740514,0,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001690285,31/12/2025,600001690285,0aa277368832f5c72cdd3f692920aee1,NA,N,N,Y,NEW,N,2025XAH235,STORE,0.2674,1,23,1,0,MALE,MARRIED,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,1,4013.86,15.57,108,189.09,3828.77,638.96,3190.81,3,1077.7,32.74,57.760466,1031.94,179.323104,856.618194,8,4016.86,105,194.09,3822.77,645.96,3190.81,8,92183.78,2305,4281.07,87908.71,14655.08,73259.63,7,10,1071.7,0,0,0,1,0,1,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600001668414,22/12/2025,600001668414,7fba71f7890322da61b0cde765a0b505,NA,N,N,Y,NEW,N,2025XAH148,STORE,0.2674,1,23,1,0,MALE,MARRIED,NOTMAPPED,NOTMAPPED,XAH,ACTUALS,PLAIN,RO_PLAIN,EOA,N,N,ABU DHABI,LTL,0,0,0,1,1261.85,10.903,34.15,61.46,1170.24,264.49,942.9,5,342.27949,10.99251,20.632204,315.654776,70.922426,258.72486,9,1260.85,28.15,59.46,1170.24,266.49,934.9,3,28842.55,605.45,1353.58,26898.52,6017.27,21480.7,2,2,335.27949,0,0,0,1,0,1,XAH
